sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.750;188;;1000rounds;Yes;Yes;2;0.78259;0.78289;0.01519;0.05801;1.56549;shimizu_agent@0;shimizu_agent@1;0.9290597786832602;0.9287009957881902;0.782894455917748;0.7825921189251527;0.782894455917748;0.7825921189251527;0.0;0.0;0.782894455917748;0.7825921189251527;Domain16_util2.xml;Domain16_util6.xml
0.231;269;;1000rounds;Yes;Yes;2;0.75270;0.77339;0.00000;0.01989;1.52609;shimizu_agent@2;shimizu_agent@3;0.9884147796239333;0.961969136905866;0.7733887489389129;0.7526962593502876;0.7733887489389129;0.7526962593502876;0.0;0.0;0.7733887489389129;0.7526962593502876;Domain16_util1.xml;Domain16_util6.xml
0.005;4;;1000rounds;Yes;Yes;2;0.80854;0.97166;0.00000;0.19462;1.78020;shimizu_agent@4;TitForTatAgent@5;0.9743346228866521;0.8107585443413442;0.9716626476478653;0.8085351534197563;0.9716626476478653;0.0;0.0;0.0;0.9716626476478653;0.8085351534197563;Domain16_util2.xml;Domain16_util6.xml
0.004;4;;1000rounds;Yes;Yes;2;0.96211;0.98541;0.00000;0.02294;1.94752;shimizu_agent@6;TitForTatAgent@7;0.9881200681371981;0.964760267620042;0.985410288259738;0.9621145486997712;0.985410288259738;0.0;0.0;0.0;0.985410288259738;0.9621145486997712;Domain16_util1.xml;Domain16_util6.xml
0.203;245;;1000rounds;Yes;Yes;2;0.74309;0.75723;0.00000;0.00000;1.50032;shimizu_agent@8;TimeDependentAgent@9;0.9290597786832602;0.9467319627028584;0.7430932169655937;0.7572280233313834;0.7430932169655937;0.0;0.0;0.0;0.7430932169655937;0.7572280233313834;Domain16_util2.xml;Domain16_util6.xml
0.043;60;;1000rounds;Yes;Yes;2;0.92263;0.93112;0.00000;0.00000;1.85375;shimizu_agent@10;TimeDependentAgent@11;0.9738318039979394;0.9827912345347102;0.9226329242499115;0.9311213157378653;0.9226329242499115;0.0;0.0;0.0;0.9226329242499115;0.9311213157378653;Domain16_util1.xml;Domain16_util6.xml
0.022;29;;1000rounds;Yes;Yes;2;0.81244;0.94571;0.01757;0.16809;1.75815;shimizu_agent@12;RandomAgent@13;0.9702644475235962;0.8335285885030768;0.9457120640414713;0.8124362836160175;0.9457120640414713;0.0;0.0;0.0;0.9457120640414713;0.8124362836160175;Domain16_util2.xml;Domain16_util6.xml
0.004;4;;1000rounds;Yes;Yes;2;0.95328;0.97419;0.01301;0.02698;1.92747;shimizu_agent@14;RandomAgent@15;0.9768648825645933;0.9559048164182002;0.9741859684456227;0.9532833823234749;0.9741859684456227;0.0;0.0;0.0;0.9741859684456227;0.9532833823234749;Domain16_util1.xml;Domain16_util6.xml
0.604;550;;1000rounds;Yes;Yes;2;0.54238;0.56617;0.00000;0.05686;1.10855;shimizu_agent@16;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@17;0.9358368509125479;0.8965005194049658;0.5661732269024459;0.5423750854609807;0.5661732269024459;0.5423750854609807;0.0;0.0;0.5661732269024459;0.5423750854609807;Domain16_util2.xml;Domain16_util6.xml
0.039;54;;1000rounds;Yes;Yes;2;0.92799;0.93359;0.00000;0.00267;1.86159;shimizu_agent@18;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@19;0.9741265154846747;0.9800001038205343;0.9279949528261747;0.9335903865239675;0.9279949528261747;0.9335903865239675;0.0;0.0;0.9279949528261747;0.9335903865239675;Domain16_util1.xml;Domain16_util6.xml
1.081;891;;1000rounds;Yes;Yes;2;0.37172;0.39790;0.01957;0.08841;0.76961;shimizu_agent@20;shimizu_agent@21;0.898631009031542;0.8395134550271804;0.39789511360549973;0.3717190907104128;0.39789511360549973;0.3717190907104128;0.0;0.0;0.39789511360549973;0.3717190907104128;Domain16_util2.xml;Domain16_util5.xml
0.727;952;;1000rounds;Yes;Yes;2;0.39741;0.40003;0.00709;0.05868;0.79744;shimizu_agent@22;shimizu_agent@23;0.9490845814957587;0.9553372901698698;0.39741296635763906;0.4000311813728197;0.39741296635763906;0.4000311813728197;0.0;0.0;0.39741296635763906;0.4000311813728197;Domain16_util1.xml;Domain16_util5.xml
0.007;8;;1000rounds;Yes;Yes;2;0.78403;0.97077;0.01008;0.22925;1.75481;shimizu_agent@24;TitForTatAgent@25;0.9770145088079258;0.7890725016240788;0.9707741779864579;0.7840325831706001;0.9707741779864579;0.0;0.0;0.0;0.9707741779864579;0.7840325831706001;Domain16_util2.xml;Domain16_util5.xml
0.004;4;;1000rounds;Yes;Yes;2;0.92690;0.98442;0.00000;0.05247;1.91133;shimizu_agent@26;TitForTatAgent@27;0.9871300062638967;0.9294524106157207;0.9844229414914407;0.9269035185118579;0.9844229414914407;0.0;0.0;0.0;0.9844229414914407;0.9269035185118579;Domain16_util1.xml;Domain16_util5.xml
0.326;405;;1000rounds;Yes;Yes;2;0.60724;0.64652;0.00000;0.04671;1.25375;shimizu_agent@28;TimeDependentAgent@29;0.9358098399675898;0.878950527561701;0.6465177474214315;0.6072356700093583;0.6465177474214315;0.0;0.0;0.0;0.6465177474214315;0.6072356700093583;Domain16_util2.xml;Domain16_util5.xml
0.132;166;;1000rounds;Yes;Yes;2;0.82416;0.83640;0.00000;0.00062;1.66056;shimizu_agent@30;TimeDependentAgent@31;0.9585276548054412;0.972771669743299;0.8241573582395577;0.8364045893580928;0.8241573582395577;0.0;0.0;0.0;0.8241573582395577;0.8364045893580928;Domain16_util1.xml;Domain16_util5.xml
0.028;36;;1000rounds;Yes;Yes;2;0.83798;0.91463;0.00000;0.14324;1.75261;shimizu_agent@32;RandomAgent@33;0.9444054457629794;0.8652657463440134;0.914628008102083;0.8379836113907868;0.914628008102083;0.0;0.0;0.0;0.914628008102083;0.8379836113907868;Domain16_util2.xml;Domain16_util5.xml
0.002;3;;1000rounds;Yes;Yes;2;0.82326;0.99817;0.00000;0.15414;1.82143;shimizu_agent@34;RandomAgent@35;0.9999999999999996;0.8247647800277967;0.9981709240888468;0.8232562226362807;0.9981709240888468;0.0;0.0;0.0;0.9981709240888468;0.8232562226362807;Domain16_util1.xml;Domain16_util5.xml
0.813;643;;1000rounds;Yes;Yes;2;0.48272;0.51995;0.00516;0.11741;1.00268;shimizu_agent@36;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@37;0.9358098399675898;0.8688027027330728;0.51995450352429;0.4827240093732946;0.51995450352429;0.4827240093732946;0.0;0.0;0.51995450352429;0.4827240093732946;Domain16_util2.xml;Domain16_util5.xml
0.203;308;;1000rounds;Yes;Yes;2;0.70688;0.73473;0.00000;0.03024;1.44161;shimizu_agent@38;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@39;0.9731364536113732;0.9362535801902511;0.7347307297420088;0.7068836786906202;0.7347307297420088;0.7068836786906202;0.0;0.0;0.7347307297420088;0.7068836786906202;Domain16_util1.xml;Domain16_util5.xml
0.716;953;;1000rounds;Yes;Yes;2;0.37937;0.39272;0.01709;0.05455;0.77209;shimizu_agent@40;shimizu_agent@41;0.9387456853819238;0.9068225239990861;0.3927240755837293;0.3793690272048017;0.3927240755837293;0.3793690272048017;0.0;0.0;0.3927240755837293;0.3793690272048017;Domain16_util2.xml;Domain16_util4.xml
1.616;1001;;1000rounds;No;Yes;1;0.28026;0.28026;0.42792;0.42792;0.00000;shimizu_agent@42;shimizu_agent@43;0.7;0.7;0.2802564224433127;0.2802564224433127;0.0;0.0;0.0;0.0;0.2802564224433127;0.2802564224433127;Domain16_util1.xml;Domain16_util4.xml
0.004;5;;1000rounds;Yes;Yes;2;0.89345;0.97475;0.00000;0.10797;1.86820;shimizu_agent@44;TitForTatAgent@45;0.978325627588891;0.8967226078270019;0.9747500369181892;0.8934452603873201;0.9747500369181892;0.0;0.0;0.0;0.9747500369181892;0.8934452603873201;Domain16_util2.xml;Domain16_util4.xml
1.430;1001;;1000rounds;No;Yes;1;0.28026;0.28026;0.42792;0.42792;0.00000;shimizu_agent@46;TitForTatAgent@47;0.7;0.7;0.2802564224433127;0.2802564224433127;0.0;0.0;0.0;0.0;0.2802564224433127;0.2802564224433127;Domain16_util1.xml;Domain16_util4.xml
0.111;206;;1000rounds;Yes;Yes;2;0.77829;0.80169;0.00000;0.05370;1.57998;shimizu_agent@48;TimeDependentAgent@49;0.9671701190773623;0.9389445299506889;0.8016903663770392;0.778294086403298;0.8016903663770392;0.0;0.0;0.0;0.8016903663770392;0.778294086403298;Domain16_util2.xml;Domain16_util4.xml
1.482;969;;1000rounds;Yes;Yes;2;0.29272;0.34020;0.00000;0.13429;0.63292;shimizu_agent@50;TimeDependentAgent@51;0.8251849822164382;0.7100285951781051;0.34019678750606247;0.2927215743411067;0.34019678750606247;0.0;0.0;0.0;0.34019678750606247;0.2927215743411067;Domain16_util1.xml;Domain16_util4.xml
0.005;6;;1000rounds;Yes;Yes;2;0.89207;0.96275;0.01112;0.10558;1.85483;shimizu_agent@52;RandomAgent@53;0.9671701190773623;0.8961639920038228;0.9627536152211914;0.8920717318642911;0.9627536152211914;0.0;0.0;0.0;0.9627536152211914;0.8920717318642911;Domain16_util2.xml;Domain16_util4.xml
1.775;1001;;1000rounds;No;Yes;1;0.28026;0.28026;0.42792;0.42792;0.00000;shimizu_agent@54;RandomAgent@55;0.7;0.7;0.2802564224433127;0.2802564224433127;0.0;0.0;0.0;0.0;0.2802564224433127;0.2802564224433127;Domain16_util1.xml;Domain16_util4.xml
