sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.460;984;;1000rounds;Yes;No;2;0.69283;0.87876;0.04311;0.04981;1.57160;shimizu_agent@32;RandomAgent@33;0.6928346564152192;0.8787631731895073;0.6928346564152192;0.8787631731895073;0.6928346564152192;0.0;0.0;0.0;0.6928346564152192;0.8787631731895073;Symposium-Profile2.xml;Symposium-Profile8.xml
0.455;945;;1000rounds;Yes;No;2;0.77726;0.83846;0.00000;0.00000;1.61571;shimizu_agent@34;RandomAgent@35;0.7772551007866556;0.8384572497305504;0.7772551007866556;0.8384572497305504;0.7772551007866556;0.0;0.0;0.0;0.7772551007866556;0.8384572497305504;Symposium-Profile1.xml;Symposium-Profile8.xml
0.332;956;;1000rounds;Yes;No;2;0.75846;0.82645;0.01512;0.09967;1.58491;shimizu_agent@36;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@37;0.7584576054849353;0.8264527675684289;0.7584576054849353;0.8264527675684289;0.7584576054849353;0.8264527675684289;0.0;0.0;0.7584576054849353;0.8264527675684289;Symposium-Profile2.xml;Symposium-Profile8.xml
0.323;906;;1000rounds;Yes;No;2;0.77726;0.83846;0.00000;0.00000;1.61571;shimizu_agent@38;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@39;0.7772551007866556;0.8384572497305504;0.7772551007866556;0.8384572497305504;0.7772551007866556;0.8384572497305504;0.0;0.0;0.7772551007866556;0.8384572497305504;Symposium-Profile1.xml;Symposium-Profile8.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;shimizu_agent@40;shimizu_agent@41;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Symposium-Profile2.xml;Symposium-Profile7.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;shimizu_agent@42;shimizu_agent@43;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Symposium-Profile1.xml;Symposium-Profile7.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;shimizu_agent@44;TitForTatAgent@45;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;Symposium-Profile2.xml;Symposium-Profile7.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;shimizu_agent@46;TitForTatAgent@47;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;Symposium-Profile1.xml;Symposium-Profile7.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;shimizu_agent@48;TimeDependentAgent@49;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;Symposium-Profile2.xml;Symposium-Profile7.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;shimizu_agent@50;TimeDependentAgent@51;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;Symposium-Profile1.xml;Symposium-Profile7.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;shimizu_agent@52;RandomAgent@53;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;Symposium-Profile2.xml;Symposium-Profile7.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;shimizu_agent@54;RandomAgent@55;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;Symposium-Profile1.xml;Symposium-Profile7.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;shimizu_agent@56;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@57;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Symposium-Profile2.xml;Symposium-Profile7.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;shimizu_agent@58;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@59;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;Symposium-Profile1.xml;Symposium-Profile7.xml
0.384;860;;1000rounds;Yes;No;2;0.87988;0.88890;0.00000;0.07522;1.76877;shimizu_agent@60;shimizu_agent@61;0.8798788020538726;0.8888959933243581;0.8798788020538726;0.8888959933243581;0.8798788020538726;0.8888959933243581;0.0;0.0;0.8798788020538726;0.8888959933243581;Symposium-Profile2.xml;Symposium-Profile6.xml
0.369;861;;1000rounds;Yes;No;2;0.86604;0.88890;0.00000;0.08922;1.75493;shimizu_agent@62;shimizu_agent@63;0.8660388684683861;0.8888959933243581;0.8660388684683861;0.8888959933243581;0.8660388684683861;0.8888959933243581;0.0;0.0;0.8660388684683861;0.8888959933243581;Symposium-Profile1.xml;Symposium-Profile6.xml
0.084;217;;1000rounds;Yes;No;2;0.63729;0.98130;0.00000;0.21512;1.61859;shimizu_agent@64;TitForTatAgent@65;0.9812998119826042;0.6372939681663952;0.9812998119826042;0.6372939681663952;0.9812998119826042;0.0;0.0;0.0;0.9812998119826042;0.6372939681663952;Symposium-Profile2.xml;Symposium-Profile6.xml
0.082;207;;1000rounds;Yes;No;2;0.63729;0.98199;0.00000;0.21486;1.61929;shimizu_agent@66;TitForTatAgent@67;0.9819931768713787;0.6372939681663952;0.9819931768713787;0.6372939681663952;0.9819931768713787;0.0;0.0;0.0;0.9819931768713787;0.6372939681663952;Symposium-Profile1.xml;Symposium-Profile6.xml
0.192;487;;1000rounds;Yes;No;2;0.63729;0.98130;0.00000;0.21512;1.61859;shimizu_agent@68;TimeDependentAgent@69;0.9812998119826042;0.6372939681663952;0.9812998119826042;0.6372939681663952;0.9812998119826042;0.0;0.0;0.0;0.9812998119826042;0.6372939681663952;Symposium-Profile2.xml;Symposium-Profile6.xml
0.198;476;;1000rounds;Yes;No;2;0.70790;0.96996;0.00000;0.14324;1.67785;shimizu_agent@70;TimeDependentAgent@71;0.9699590220332709;0.7078957143677913;0.9699590220332709;0.7078957143677913;0.9699590220332709;0.0;0.0;0.0;0.9699590220332709;0.7078957143677913;Symposium-Profile1.xml;Symposium-Profile6.xml
0.260;587;;1000rounds;Yes;No;2;0.84910;0.94371;0.00000;0.00000;1.79281;shimizu_agent@72;RandomAgent@73;0.9437060983412404;0.849099206770584;0.9437060983412404;0.849099206770584;0.9437060983412404;0.0;0.0;0.0;0.9437060983412404;0.849099206770584;Symposium-Profile2.xml;Symposium-Profile6.xml
0.275;592;;1000rounds;Yes;No;2;0.84910;0.94589;0.00000;0.00000;1.79499;shimizu_agent@74;RandomAgent@75;0.9458907123570552;0.849099206770584;0.9458907123570552;0.849099206770584;0.9458907123570552;0.0;0.0;0.0;0.9458907123570552;0.849099206770584;Symposium-Profile1.xml;Symposium-Profile6.xml
0.245;721;;1000rounds;Yes;No;2;0.85344;0.91268;0.00000;0.03133;1.76612;shimizu_agent@76;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@77;0.912675285182924;0.8534443987046321;0.912675285182924;0.8534443987046321;0.912675285182924;0.8534443987046321;0.0;0.0;0.912675285182924;0.8534443987046321;Symposium-Profile2.xml;Symposium-Profile6.xml
0.270;744;;1000rounds;Yes;No;2;0.84910;0.94589;0.00000;0.00000;1.79499;shimizu_agent@78;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@79;0.9458907123570552;0.849099206770584;0.9458907123570552;0.849099206770584;0.9458907123570552;0.849099206770584;0.0;0.0;0.9458907123570552;0.849099206770584;Symposium-Profile1.xml;Symposium-Profile6.xml
