sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.911;993;;1000rounds;Yes;Yes;2;0.60307;0.66352;0.00000;0.00000;1.26659;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@10;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@11;0.8824121625110543;0.8020154681025256;0.6635231414020657;0.6030694560397897;0.6635231414020657;0.6030694560397897;0.0;0.0;0.6635231414020657;0.6030694560397897;Travel-A-prof1.xml;Travel-A-prof2.xml
1.973;853;;1000rounds;Yes;Yes;2;0.61545;0.66007;0.03310;0.03310;1.27552;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@12;Agent_K@13;0.843202730808216;0.7862017903836002;0.6600708323094815;0.6154497028778491;0.6600708323094815;0.0;0.0;0.0;0.6600708323094815;0.6154497028778491;Travel-A-prof1.xml;Travel-A-prof2.xml
0.870;588;;1000rounds;Yes;Yes;2;0.67751;0.74543;0.00000;0.00000;1.42294;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@14;SENGOKU@15;0.8824121625110543;0.8020154681025256;0.7454280189124058;0.6775119688100197;0.7454280189124058;0.6775119688100197;0.0;0.0;0.7454280189124058;0.6775119688100197;Travel-A-prof1.xml;Travel-A-prof2.xml
1123.086;737;;1000rounds;Yes;Yes;2;0.61803;0.64911;0.05015;0.09615;1.26714;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@16;ParsAgent@17;0.7636150819066964;0.8020154681025256;0.618032694556421;0.649112088762932;0.618032694556421;0.649112088762932;0.0;0.0;0.618032694556421;0.649112088762932;Travel-A-prof1.xml;Travel-A-prof2.xml
1.043;1001;;1000rounds;No;Yes;1;0.37511;0.37511;0.74862;0.89458;0.00000;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@26;YXAgent@27;0.5;0.5;0.37510778849234283;0.37510778849234283;0.0;0.0;0.0;0.0;0.37510778849234283;0.37510778849234283;Travel-A-prof1.xml;Travel-A-prof2.xml
0.752;588;;1000rounds;Yes;Yes;2;0.67751;0.74543;0.00000;0.00000;1.42294;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@28;ParsCat@29;0.8824121625110543;0.8020154681025256;0.7454280189124058;0.6775119688100197;0.7454280189124058;0.6775119688100197;0.0;0.0;0.7454280189124058;0.6775119688100197;Travel-A-prof1.xml;Travel-A-prof2.xml
0.138;261;;1000rounds;Yes;Yes;2;0.63911;0.90961;0.00000;0.13889;1.54873;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30;Atlas3@31;0.9801853495122493;0.688700166873053;0.9096128502639068;0.6391143492180886;0.9096128502639068;0.6391143492180886;0.0;0.0;0.9096128502639068;0.6391143492180886;Travel-A-prof1.xml;Travel-A-prof2.xml
0.296;571;;1000rounds;Yes;Yes;2;0.68083;0.74908;0.00000;0.00000;1.42991;boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@32;kawaii@33;0.8824121625110543;0.8020154681025256;0.7490788749312913;0.6808301948310993;0.7490788749312913;0.6808301948310993;0.0;0.0;0.7490788749312913;0.6808301948310993;Travel-A-prof1.xml;Travel-A-prof2.xml
