sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.002;3;;1000rounds;Yes;Yes;2;0.99817;0.99817;0.00000;0.00000;1.99634;WaveAgent@104;shimizu_agent@105;0.9999999999999999;0.9999999999999999;0.9981709240888471;0.9981709240888471;0.0;0.9981709240888471;0.0;0.0;0.9981709240888471;0.9981709240888471;Domain16_util6.xml;Domain16_util6.xml
0.379;342;;1000rounds;Yes;Yes;2;0.64023;0.72577;0.00650;0.04608;1.36600;WaveAgent@106;shimizu_agent@107;0.8747813338774234;0.9916508169054865;0.6402322200780612;0.7257662909146899;0.0;0.7257662909146899;0.0;0.0;0.6402322200780612;0.7257662909146899;Domain16_util5.xml;Domain16_util6.xml
1.249;1001;;1000rounds;No;Yes;1;0.28026;0.28026;0.44625;0.44625;0.00000;WaveAgent@108;shimizu_agent@109;0.7;0.7;0.2802564224433127;0.2802564224433127;0.0;0.0;0.0;0.0;0.2802564224433127;0.2802564224433127;Domain16_util4.xml;Domain16_util6.xml
0.319;588;;1000rounds;Yes;Yes;2;0.54431;0.54566;0.00000;0.13786;1.08998;WaveAgent@110;shimizu_agent@111;0.9338560678935101;0.9315532424867813;0.5456605009285342;0.5443149393284249;0.0;0.5443149393284249;0.0;0.0;0.5456605009285342;0.5443149393284249;Domain16_util3.xml;Domain16_util6.xml
0.150;262;;1000rounds;Yes;Yes;2;0.71354;0.78244;0.00000;0.04110;1.49598;WaveAgent@112;shimizu_agent@113;0.9061012984361441;0.9935972942669251;0.7135397453781952;0.7824413910269317;0.0;0.7824413910269317;0.0;0.0;0.7135397453781952;0.7824413910269317;Domain16_util2.xml;Domain16_util6.xml
0.003;4;;1000rounds;Yes;Yes;2;0.94068;0.99726;0.00654;0.03498;1.93794;WaveAgent@114;shimizu_agent@115;0.9432643051629699;0.9999999999999999;0.9406775358869692;0.9972576410854921;0.0;0.9972576410854921;0.0;0.0;0.9406775358869692;0.9972576410854921;Domain16_util1.xml;Domain16_util6.xml
0.001;2;;1000rounds;Yes;Yes;2;0.90298;0.90298;0.13591;0.13591;1.80597;WaveAgent@116;RandomAgent@117;0.9038099336078529;0.9038099336078529;0.9029829868087553;0.9029829868087553;0.0;0.0;0.0;0.0;0.9029829868087553;0.9029829868087553;Domain16_util6.xml;Domain16_util6.xml
0.004;7;;1000rounds;Yes;Yes;2;0.81184;0.92362;0.08887;0.10703;1.73546;WaveAgent@118;RandomAgent@119;0.9287071144366524;0.8163129222748049;0.9236204023401271;0.811841815343742;0.0;0.0;0.0;0.0;0.9236204023401271;0.811841815343742;Domain16_util5.xml;Domain16_util6.xml
0.364;1001;;1000rounds;No;Yes;1;0.28026;0.28026;0.44625;0.44625;0.00000;WaveAgent@120;RandomAgent@121;0.7;0.7;0.2802564224433127;0.2802564224433127;0.0;0.0;0.0;0.0;0.2802564224433127;0.2802564224433127;Domain16_util4.xml;Domain16_util6.xml
0.001;2;;1000rounds;Yes;Yes;2;0.82072;0.90336;0.07912;0.11390;1.72408;WaveAgent@122;RandomAgent@123;0.904184658619478;0.8214746684500133;0.9033573689632848;0.8207230548392812;0.0;0.0;0.0;0.0;0.9033573689632848;0.8207230548392812;Domain16_util3.xml;Domain16_util6.xml
0.003;4;;1000rounds;Yes;Yes;2;0.83287;0.90075;0.05299;0.15803;1.73362;WaveAgent@124;RandomAgent@125;0.9032277878676012;0.8351599143407694;0.9007508130917112;0.8328696061046374;0.0;0.0;0.0;0.0;0.9007508130917112;0.8328696061046374;Domain16_util2.xml;Domain16_util6.xml
0.002;3;;1000rounds;Yes;Yes;2;0.89223;0.94987;0.04939;0.09149;1.84210;WaveAgent@126;RandomAgent@127;0.9516102985597862;0.8938652858177549;0.9498697310858856;0.89223033835565;0.0;0.0;0.0;0.0;0.9498697310858856;0.89223033835565;Domain16_util1.xml;Domain16_util6.xml
0.002;3;;1000rounds;Yes;Yes;2;0.99783;0.99783;0.00048;0.00048;1.99567;WaveAgent@128;TimeDependentAgent@129;0.999661614754591;0.999661614754591;0.9978331577757393;0.9978331577757393;0.0;0.0;0.0;0.0;0.9978331577757393;0.9978331577757393;Domain16_util6.xml;Domain16_util6.xml
0.078;225;;1000rounds;Yes;Yes;2;0.74561;0.75995;0.01472;0.03469;1.50556;WaveAgent@130;TimeDependentAgent@131;0.9152930748648638;0.9329023076511609;0.7456081801400728;0.7599528620479877;0.0;0.0;0.0;0.0;0.7456081801400728;0.7599528620479877;Domain16_util5.xml;Domain16_util6.xml
0.675;966;;1000rounds;Yes;Yes;2;0.29396;0.35227;0.01794;0.09252;0.64623;WaveAgent@132;TimeDependentAgent@133;0.8521294799580172;0.7110776211307916;0.35227117693650833;0.2939601978108982;0.0;0.0;0.0;0.0;0.35227117693650833;0.2939601978108982;Domain16_util4.xml;Domain16_util6.xml
0.107;312;;1000rounds;Yes;Yes;2;0.70076;0.70250;0.00000;0.00000;1.40326;WaveAgent@134;TimeDependentAgent@135;0.9338560678935101;0.9315532424867813;0.7024966184338676;0.7007643096587908;0.0;0.0;0.0;0.0;0.7024966184338676;0.7007643096587908;Domain16_util3.xml;Domain16_util6.xml
0.120;342;;1000rounds;Yes;Yes;2;0.64646;0.68473;0.02336;0.04793;1.33119;WaveAgent@136;TimeDependentAgent@137;0.883285341951823;0.9355875177252346;0.6464561068463144;0.6847348592768234;0.0;0.0;0.0;0.0;0.6464561068463144;0.6847348592768234;Domain16_util2.xml;Domain16_util6.xml
0.007;16;;1000rounds;Yes;Yes;2;0.93069;0.98361;0.00647;0.03307;1.91430;WaveAgent@138;TimeDependentAgent@139;0.9435590166497051;0.997208869285824;0.9306918955751297;0.983610136158032;0.0;0.0;0.0;0.0;0.9306918955751297;0.983610136158032;Domain16_util1.xml;Domain16_util6.xml
0.002;3;;1000rounds;Yes;Yes;2;0.99817;0.99817;0.00000;0.00000;1.99634;WaveAgent@140;TitForTatAgent@141;0.9999999999999999;0.9999999999999999;0.9981709240888471;0.9981709240888471;0.0;0.0;0.0;0.0;0.9981709240888471;0.9981709240888471;Domain16_util6.xml;Domain16_util6.xml
0.005;7;;1000rounds;Yes;Yes;2;0.83153;0.97175;0.04083;0.08643;1.80327;WaveAgent@142;TitForTatAgent@143;0.9770992264890105;0.8361068608747275;0.9717474612471753;0.831527338636676;0.0;0.0;0.0;0.0;0.9717474612471753;0.831527338636676;Domain16_util5.xml;Domain16_util6.xml
0.317;1001;;1000rounds;No;Yes;1;0.28026;0.28026;0.44625;0.44625;0.00000;WaveAgent@144;TitForTatAgent@145;0.7;0.7;0.2802564224433127;0.2802564224433127;0.0;0.0;0.0;0.0;0.2802564224433127;0.2802564224433127;Domain16_util4.xml;Domain16_util6.xml
0.007;12;;1000rounds;Yes;Yes;2;0.83228;0.92950;0.04031;0.09008;1.76178;WaveAgent@146;TitForTatAgent@147;0.9389069165537958;0.8407054325522075;0.9295003790601079;0.8322827369334813;0.0;0.0;0.0;0.0;0.9295003790601079;0.8322827369334813;Domain16_util3.xml;Domain16_util6.xml
0.004;6;;1000rounds;Yes;Yes;2;0.78113;0.94064;0.03908;0.21149;1.72177;WaveAgent@148;TitForTatAgent@149;0.9449549217618864;0.7847167795775715;0.9406398618013386;0.7811334340888663;0.0;0.0;0.0;0.0;0.9406398618013386;0.7811334340888663;Domain16_util2.xml;Domain16_util6.xml
